,ICAO,lat,long
0,AYGA,-6.082,145.392
2,AYMD,-5.207,145.789
3,AYMH,-5.826,144.296
4,AYNZ,-6.57,146.726
5,AYPY,-9.443,147.22
7,AYWK,-3.584,143.669
11,BGBW,61.161,-45.427
13,BGCO,70.739,-22.646
21,BGGH,64.191,-51.678
27,BGJN,69.233,-51.067
29,BGKK,65.583,-37.15
39,BGSF,67.017,-50.689
42,BGTL,76.531,-68.703
47,BIAR,65.66,-18.072
50,BIEG,65.283,-14.401
53,BIHN,64.296,-15.227
54,BIHU,65.952,-17.426
55,BIIS,66.058,-23.135
56,BIKF,63.985,-22.606
57,BIKP,66.314,-16.461
60,BIPA,65.556,-23.965
62,BIRK,64.13,-21.941
63,BISI,66.133,-18.917
68,BIVM,63.424,-20.279
86,CYAM,46.485,-84.509
87,CYAV,50.056,-97.032
88,CYAW,44.64,-63.499
89,CYAY,51.392,-56.084
90,CYAZ,49.082,-125.772
92,CYBB,68.534,-89.808
93,CYBC,49.132,-68.207
94,CYBG,48.331,-70.996
95,CYBK,64.299,-96.078
96,CYBL,49.951,-125.271
97,CYBR,49.91,-99.952
100,CYCB,69.108,-105.138
101,CYCD,49.052,-123.87
102,CYCG,49.296,-117.632
103,CYCH,47.008,-65.449
104,CYCL,47.991,-66.331
105,CYCO,67.817,-115.144
107,CYCT,52.075,-111.445
109,CYCW,49.153,-121.939
111,CYCY,70.486,-68.517
112,CYCZ,50.332,-115.874
113,CYDA,64.043,-139.128
114,CYDB,61.371,-139.041
115,CYDC,49.468,-120.512
116,CYDF,49.211,-57.391
117,CYDL,58.422,-130.032
118,CYDN,51.101,-100.052
119,CYDQ,55.742,-120.182
121,CYED,53.667,-113.467
122,CYEG,53.31,-113.58
123,CYEK,61.094,-94.071
124,CYEN,49.21,-102.966
126,CYET,53.579,-116.465
127,CYEU,79.995,-85.813
128,CYEV,68.304,-133.483
129,CYFB,63.756,-68.556
130,CYFC,45.869,-66.532
131,CYFE,48.746,-69.097
133,CYFO,54.678,-101.682
134,CYFR,61.181,-113.69
135,CYFS,61.76,-121.237
137,CYGK,44.225,-76.597
138,CYGL,53.625,-77.704
139,CYGP,48.775,-64.479
140,CYGQ,49.778,-86.939
141,CYGR,47.425,-61.778
143,CYGW,55.283,-77.767
144,CYGX,56.35,-94.7
147,CYHB,52.817,-102.311
148,CYHD,49.832,-92.744
150,CYHI,70.763,-117.806
151,CYHK,68.636,-95.85
152,CYHM,43.173,-79.935
154,CYHU,45.517,-73.417
155,CYHY,60.84,-115.783
156,CYHZ,44.881,-63.509
157,CYIB,48.774,-91.639
158,CYIO,72.683,-77.967
161,CYJN,45.294,-73.281
162,CYJT,48.544,-58.55
163,CYKA,50.702,-120.442
164,CYKF,43.459,-80.384
165,CYKL,54.805,-66.805
166,CYKY,51.517,-109.181
167,CYKZ,43.862,-79.37
170,CYLD,47.82,-83.346
171,CYLJ,54.125,-108.523
172,CYLL,53.309,-110.072
174,CYLT,82.518,-62.281
175,CYLW,49.956,-119.378
177,CYMA,63.617,-135.867
179,CYMJ,50.33,-105.559
180,CYMM,56.653,-111.222
181,CYMO,51.291,-80.608
183,CYMW,46.274,-75.99
184,CYMX,45.68,-74.039
185,CYNA,50.19,-61.789
186,CYND,45.521,-75.564
188,CYNM,49.762,-77.803
191,CYOC,67.571,-139.839
192,CYOD,54.405,-110.279
193,CYOJ,58.621,-117.165
194,CYOW,45.323,-75.669
195,CYPA,53.214,-105.673
196,CYPE,56.227,-117.447
198,CYPG,49.903,-98.275
200,CYPK,49.216,-122.71
201,CYPL,51.446,-90.214
202,CYPN,49.836,-64.289
203,CYPQ,44.23,-78.363
204,CYPR,54.286,-130.445
205,CYPY,58.767,-111.117
206,CYQA,44.975,-79.303
207,CYQB,46.788,-71.398
208,CYQF,52.179,-113.893
209,CYQG,42.276,-82.956
210,CYQH,60.118,-128.822
211,CYQK,49.788,-94.363
212,CYQL,49.63,-112.8
213,CYQM,46.112,-64.679
214,CYQN,50.183,-86.696
215,CYQQ,49.711,-124.887
216,CYQR,50.432,-104.666
217,CYQT,48.372,-89.324
218,CYQU,55.18,-118.885
219,CYQV,51.265,-102.462
220,CYQW,52.769,-108.244
221,CYQX,48.937,-54.568
222,CYQY,46.161,-60.048
223,CYQZ,53.026,-122.51
224,CYRB,74.717,-94.969
225,CYRI,47.764,-69.585
226,CYRJ,48.52,-72.266
227,CYRM,52.43,-114.904
228,CYRT,62.811,-92.116
231,CYSB,46.625,-80.799
232,CYSC,45.438,-71.691
235,CYSJ,45.316,-65.89
237,CYSM,60.022,-111.96
238,CYSR,72.982,-84.614
240,CYSU,46.443,-63.831
241,CYSY,71.994,-125.243
243,CYTE,64.23,-76.527
244,CYTH,55.801,-97.864
246,CYTR,44.119,-77.528
247,CYTS,48.57,-81.377
248,CYTZ,43.627,-79.396
250,CYUB,69.433,-133.026
257,CYUL,45.468,-73.741
261,CYUT,66.521,-86.225
262,CYUX,68.776,-81.244
263,CYUY,48.206,-78.836
264,CYVC,55.151,-105.262
265,CYVG,53.356,-110.824
266,CYVM,67.546,-64.031
268,CYVO,48.053,-77.783
269,CYVP,58.096,-68.427
270,CYVQ,65.282,-126.8
271,CYVR,49.195,-123.182
272,CYVT,55.842,-108.418
273,CYVV,44.746,-81.107
274,CYWA,45.952,-77.319
275,CYWG,49.91,-97.234
276,CYWK,52.922,-66.864
277,CYWL,52.183,-122.054
280,CYWY,63.209,-123.437
281,CYXC,49.61,-115.782
282,CYXD,53.573,-113.521
283,CYXE,52.171,-106.7
284,CYXH,50.019,-110.721
286,CYXJ,56.238,-120.74
287,CYXL,50.114,-91.904
289,CYXP,66.145,-65.714
290,CYXR,47.695,-79.849
291,CYXS,53.889,-122.679
292,CYXT,54.466,-128.577
293,CYXU,43.036,-81.154
294,CYXX,49.025,-122.363
295,CYXY,60.709,-135.068
296,CYYB,46.364,-79.423
297,CYYC,51.114,-114.02
298,CYYD,54.825,-127.183
299,CYYE,58.836,-122.597
300,CYYF,49.463,-119.602
301,CYYG,46.29,-63.121
302,CYYH,69.547,-93.577
303,CYYJ,48.647,-123.426
304,CYYL,56.864,-101.076
305,CYYN,50.292,-107.691
306,CYYQ,58.739,-94.065
307,CYYR,53.319,-60.426
308,CYYT,47.619,-52.752
309,CYYU,49.414,-82.468
310,CYYW,50.29,-88.91
311,CYYY,48.609,-68.208
312,CYYZ,43.677,-79.631
314,CYZD,43.742,-79.466
315,CYZE,45.885,-82.568
316,CYZF,62.463,-114.44
317,CYZH,55.293,-114.778
318,CYZP,53.254,-131.814
319,CYZR,42.999,-82.309
320,CYZT,50.681,-127.367
321,CYZU,54.144,-115.787
322,CYZV,50.223,-66.266
323,CYZW,60.173,-132.743
324,CYZX,44.984,-64.917
325,CZFA,62.208,-133.376
326,CZFM,67.408,-134.86
329,DAAB,36.504,2.814
330,DAAD,35.333,4.206
331,DAAE,36.712,5.07
333,DAAG,36.691,3.215
334,DAAJ,24.293,9.452
335,DAAK,36.546,2.876
336,DAAM,36.109,6.364
337,DAAN,26.71,0.286
338,DAAP,26.573,8.484
339,DAAQ,35.525,2.879
340,DAAS,36.178,5.324
341,DAAT,22.811,5.451
342,DAAV,36.795,5.873
345,DAAY,33.536,-0.242
346,DAAZ,35.752,0.626
347,DABB,36.822,7.809
348,DABC,36.277,6.624
350,DABS,35.431,8.121
353,DAFH,32.93,3.312
355,DAOB,35.341,1.463
357,DAOE,35.735,-0.805
358,DAOF,27.7,-8.167
359,DAOI,36.213,1.332
360,DAOL,35.542,-0.532
361,DAON,35.017,-1.45
362,DAOO,35.624,-0.621
363,DAOS,35.172,-0.593
364,DAOV,35.208,0.147
368,DAUA,27.837,-0.186
369,DAUB,34.793,5.738
370,DAUE,30.571,2.859
371,DAUG,32.384,3.794
372,DAUH,31.673,6.14
373,DAUI,27.251,2.512
374,DAUK,33.068,6.089
375,DAUL,33.764,2.927
376,DAUT,29.237,0.276
377,DAUU,31.917,5.413
378,DAUZ,28.051,9.643
379,DBBB,6.357,2.384
385,DBBP,9.357,2.609
423,DFFD,12.353,-1.512
432,DFOO,11.16,-4.331
438,DGAA,5.603,-0.168
449,DGLE,9.563,-0.863
451,DGLW,10.082,-2.507
454,DGSN,7.362,-2.329
456,DGTK,4.893,-1.775
461,DIAP,5.26,-3.926
465,DIBK,7.739,-5.074
470,DIDL,6.792,-6.473
476,DIKO,9.387,-5.556
477,DIMN,7.272,-7.587
482,DISP,4.747,-6.661
486,DIYO,6.903,-5.366
487,DNAA,9.007,7.263
488,DNAK,7.247,5.301
489,DNBE,6.317,5.599
491,DNCA,4.976,8.347
492,DNEN,6.474,7.562
493,DNGU,12.172,6.696
494,DNIB,7.362,3.978
495,DNIL,8.44,4.494
496,DNJO,9.64,8.869
497,DNKA,10.696,7.32
498,DNKN,12.047,8.524
499,DNMA,11.855,13.081
500,DNMK,7.704,8.614
501,DNMM,6.577,3.321
502,DNMN,9.652,6.462
504,DNPO,5.015,6.949
505,DNSO,12.916,5.207
506,DNYO,9.26,12.43
507,DNZA,11.13,7.686
515,DRRM,13.502,7.127
516,DRRN,13.481,2.184
518,DRRT,14.876,5.265
520,DRZA,16.965,7.997
521,DRZD,18.969,12.869
522,DRZF,13.373,12.627
528,DRZR,13.779,8.984
529,DRZT,14.999,8.767
531,DTMB,35.758,10.755
532,DTTA,36.851,10.227
533,DTTB,37.245,9.791
534,DTTD,32.306,10.382
535,DTTF,34.422,8.822
536,DTTG,33.877,10.103
537,DTTI,36.721,9.943
538,DTTJ,33.875,10.775
542,DTTR,31.704,9.254
543,DTTX,34.718,10.691
544,DTTZ,33.94,8.111
551,DXNG,9.767,1.091
554,DXXX,6.166,1.254
556,EBAW,51.19,4.463
557,EBBE,50.759,4.768
558,EBBL,51.168,5.471
559,EBBR,50.902,4.499
560,EBBT,51.333,4.5
561,EBBX,49.887,5.229
562,EBCI,50.459,4.454
563,EBCV,50.576,3.831
564,EBFN,51.09,2.653
565,EBFS,50.244,4.649
570,EBKT,50.818,3.208
572,EBLG,50.637,5.443
577,EBOS,51.199,2.862
579,EBSL,50.948,5.592
581,EBST,50.788,5.193
587,EBUL,51.144,3.474
588,EBWE,51.395,4.961
590,EBZR,51.266,4.755
592,EDAB,51.193,14.52
593,EDAC,50.982,12.506
594,EDAD,51.832,12.186
595,EDAE,52.197,14.586
598,EDAH,53.879,14.152
600,EDAK,51.308,13.555
602,EDAM,51.363,11.941
606,EDAQ,51.552,12.053
609,EDAU,51.294,13.359
611,EDAX,53.306,12.753
612,EDAY,52.58,13.916
613,EDAZ,52.203,13.159
616,EDBC,51.856,11.418
619,EDBG,35.461,-77.965
620,EDBH,54.338,12.71
622,EDBJ,50.917,11.714
623,EDBK,52.919,12.425
625,EDBM,52.074,11.626
626,EDBN,51.328,12.657
629,EDBR,51.364,14.952
632,EDCA,53.833,13.669
634,EDCD,51.889,14.532
640,EDCK,51.721,11.962
641,EDCM,51.296,14.129
650,EDDB,52.38,13.523
651,EDDC,51.133,13.767
653,EDDE,50.98,10.958
654,EDDF,50.026,8.543
655,EDDG,52.134,7.685
656,EDDH,53.63,9.988
657,EDDI,52.473,13.404
658,EDDK,50.866,7.143
659,EDDL,51.289,6.767
660,EDDM,48.354,11.786
661,EDDN,49.499,11.078
662,EDDP,51.424,12.236
663,EDDR,49.214,7.109
664,EDDS,48.69,9.222
665,EDDT,52.559,13.287
666,EDDV,52.461,9.685
667,EDDW,53.047,8.787
678,EDFE,49.961,8.644
681,EDFH,49.95,7.264
686,EDFM,49.473,8.514
690,EDFQ,51.035,8.679
695,EDFV,49.606,8.368
699,EDFZ,49.969,8.147
702,EDGE,50.993,10.473
715,EDGS,50.708,8.082
724,EDHI,53.535,9.835
726,EDHK,54.379,10.145
727,EDHL,53.805,10.719
736,EDKA,50.823,6.187
749,EDKV,50.406,6.528
751,EDKZ,51.099,7.602
752,EDLA,51.483,7.899
754,EDLC,51.53,6.537
756,EDLE,51.401,6.936
763,EDLN,51.23,6.504
765,EDLP,51.614,8.616
767,EDLS,51.996,6.84
769,EDLW,51.518,7.612
773,EDMA,48.425,10.932
774,EDMB,48.111,9.763
777,EDME,48.396,12.724
787,EDMO,48.081,11.283
791,EDMS,48.901,12.518
793,EDMV,48.636,13.195
806,EDNL,47.859,10.014
817,EDNY,47.671,9.511
828,EDOP,53.427,11.783
833,EDOV,52.629,11.82
836,EDPA,48.778,10.264
853,EDQC,50.263,10.996
854,EDQD,49.984,11.638
855,EDQE,49.794,11.132
861,EDQM,50.289,11.855
864,EDQP,49.863,11.788
866,EDQT,50.018,10.529
878,EDRK,50.325,7.531
885,EDRT,49.863,6.789
887,EDRY,49.302,8.451
888,EDRZ,49.209,7.401
896,EDTB,48.791,8.187
898,EDTD,47.973,8.522
899,EDTF,48.02,7.834
901,EDTK,48.982,8.333
902,EDTM,48.054,9.373
911,EDTY,49.118,9.777
914,EDUS,51.608,13.738
919,EDVE,52.319,10.556
924,EDVK,51.408,9.378
926,EDVM,52.177,9.946
938,EDWB,53.503,8.573
940,EDWD,53.143,8.623
941,EDWE,53.391,7.227
942,EDWF,53.272,7.443
945,EDWI,53.505,8.053
954,EDWR,53.595,6.709
961,EDWY,53.707,7.23
968,EDXF,54.772,9.378
978,EDXR,54.221,9.601
981,EDXW,54.913,8.34
994,EEEI,59.259,24.204
995,EEKA,58.991,22.831
996,EEKE,58.23,22.509
997,EEPU,58.419,24.473
998,EETN,59.413,24.833
999,EETU,58.307,26.69
1003,EFET,68.362,23.424
1004,EFEU,61.116,22.201
1006,EFHA,61.856,24.786
1007,EFHF,60.254,25.043
1008,EFHK,60.32,24.956
1010,EFHM,61.689,23.074
1011,EFHN,59.849,23.083
1014,EFHV,60.654,24.881
1016,EFIK,60.463,23.652
1018,EFIM,61.249,28.904
1019,EFIT,62.166,30.074
1020,EFIV,68.607,27.405
1022,EFJO,62.659,29.624
1025,EFJY,62.399,25.678
1026,EFKA,63.127,23.051
1027,EFKE,65.782,24.599
1030,EFKI,64.285,27.692
1031,EFKJ,62.463,22.393
1032,EFKK,63.721,23.143
1033,EFKM,66.713,27.157
1035,EFKS,65.987,29.239
1036,EFKT,67.701,24.847
1037,EFKU,63.007,27.798
1040,EFLA,61.144,25.693
1041,EFLP,61.044,28.144
1042,EFMA,60.122,19.898
1043,EFME,62.947,23.519
1044,EFMI,61.686,27.202
1045,EFNU,60.334,24.296
1047,EFOU,64.93,25.354
1049,EFPI,61.246,22.193
1051,EFPO,61.462,21.8
1052,EFPU,65.402,26.947
1053,EFPY,63.732,25.926
1055,EFRH,64.688,24.696
1056,EFRN,62.065,28.356
1057,EFRO,66.565,25.83
1059,EFRY,60.745,24.108
1060,EFSA,61.943,28.945
1061,EFSE,61.062,26.799
1062,EFSO,67.395,26.619
1065,EFTP,61.414,23.604
1066,EFTS,61.773,24.027
1067,EFTU,60.514,22.263
1068,EFUT,60.896,26.938
1069,EFVA,63.051,21.761
1071,EFVR,62.171,27.869
1074,EFYL,64.06,24.716
1075,EGAA,54.657,-6.216
1076,EGAB,54.399,-7.652
1077,EGAC,54.618,-5.873
1079,EGAE,55.043,-7.161
1081,EGBB,52.454,-1.748
1083,EGBE,52.37,-1.48
1084,EGBG,52.608,-1.032
1085,EGBJ,51.894,-2.167
1088,EGBN,52.92,-1.079
1089,EGBO,52.517,-2.26
1090,EGBP,51.668,-2.057
1092,EGBT,52.041,-1.096
1096,EGCC,53.354,-2.275
1097,EGCD,53.338,-2.149
1099,EGCF,53.56,-0.858
1107,EGDC,51.087,-4.15
1109,EGDG,50.441,-4.995
1112,EGDL,51.505,-1.993
1113,EGDM,51.152,-1.747
1116,EGDR,50.086,-5.256
1119,EGDX,51.405,-3.436
1120,EGDY,51.009,-2.639
1122,EGFE,51.833,-4.961
1123,EGFF,51.397,-3.343
1124,EGFH,51.605,-4.068
1125,EGGD,51.383,-2.719
1128,EGGP,53.334,-2.85
1129,EGGW,51.874,-0.368
1132,EGHD,50.423,-4.106
1135,EGHH,50.78,-1.843
1136,EGHI,50.95,-1.357
1139,EGHL,51.185,-1.032
1146,EGJB,49.435,-2.602
1147,EGJJ,49.208,-2.195
1149,EGKA,50.836,-0.297
1150,EGKB,51.331,0.033
1153,EGKK,51.148,-0.19
1158,EGLC,51.505,0.054
1160,EGLF,51.276,-0.776
1162,EGLJ,51.676,-1.081
1163,EGLK,51.324,-0.848
1164,EGLL,51.477,-0.461
1168,EGMC,51.571,0.696
1169,EGMD,50.956,0.939
1170,EGMH,51.342,1.346
1172,EGNB,53.719,-0.566
1173,EGNC,54.938,-2.809
1177,EGNH,53.772,-3.029
1179,EGNJ,53.574,-0.351
1180,EGNL,54.13,-3.256
1181,EGNM,53.866,-1.661
1182,EGNO,53.745,-2.883
1183,EGNR,53.178,-2.978
1184,EGNS,54.083,-4.624
1185,EGNT,55.038,-1.692
1186,EGNV,54.509,-1.429
1188,EGNX,52.831,-1.328
1191,EGOD,52.812,-4.123
1192,EGOE,52.871,-2.533
1196,EGOQ,53.258,-4.373
1197,EGOS,52.798,-2.668
1198,EGOV,53.248,-4.535
1199,EGOW,53.581,-3.055
1200,EGOY,54.851,-4.948
1201,EGPA,58.958,-2.905
1202,EGPB,59.879,-1.296
1203,EGPC,58.459,-3.093
1204,EGPD,57.204,-2.2
1205,EGPE,57.54,-4.05
1206,EGPF,55.872,-4.433
1208,EGPH,55.95,-3.373
